,n_keywords,n_keysents,KR-WordRank,TextRank,TextRank(cos)
0,10,3,0.8,0.6,0.4
1,10,5,1.0,0.7,0.5
2,10,10,1.0,1.0,0.5
3,10,20,1.0,1.0,0.5
4,10,30,1.0,1.0,0.7
5,20,3,0.7,0.5,0.35
6,20,5,0.9,0.65,0.45
7,20,10,0.95,0.9,0.45
8,20,20,1.0,1.0,0.45
9,20,30,1.0,1.0,0.55
10,30,3,0.5,0.4,0.3333333333333333
11,30,5,0.7,0.5,0.43333333333333335
12,30,10,0.8666666666666667,0.7666666666666667,0.43333333333333335
13,30,20,0.9666666666666667,0.9666666666666667,0.4666666666666667
14,30,30,1.0,0.9666666666666667,0.5666666666666667
15,50,3,0.44,0.28,0.3
16,50,5,0.58,0.4,0.38
17,50,10,0.74,0.6,0.38
18,50,20,0.96,0.82,0.4
19,50,30,0.98,0.88,0.48
20,100,3,0.3,0.2,0.23
21,100,5,0.42,0.29,0.27
22,100,10,0.59,0.46,0.28
23,100,20,0.78,0.67,0.32
24,100,30,0.86,0.78,0.38
